MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
VCB,08/11/2010,35.0,35.3,34.6,34.8,96570,36.40,33.00,34.7,0.10,0.29,0,30960,0
VCB,08/10/2010,35.3,35.5,34.6,34.7,186800,37.40,34.00,35.7,-1.00,-2.80,0,0,0
VCB,08/09/2010,36.7,37.3,35.7,35.7,111670,39.00,35.40,37.2,-1.50,-4.03,0,0,0
VCB,08/06/2010,37.3,37.3,37.1,37.2,114610,39.00,35.40,37.2,0.00,0.00,0,111160,0
VCB,08/05/2010,37.3,37.3,37.1,37.2,79450,38.80,35.20,37.0,0.20,0.54,22000,76110,0
VCB,08/04/2010,37.0,37.0,36.7,37.0,64130,38.70,35.10,36.9,0.10,0.27,0,31490,0
VCB,08/03/2010,37.4,37.4,36.9,36.9,73530,38.80,35.20,37.0,-0.10,-0.27,30000,6370,0
VCB,08/02/2010,37.5,37.7,37.0,37.0,26370,39.30,35.70,37.5,-0.50,-1.33,0,20820,0
VCB,07/30/2010,37.0,37.5,37.0,37.5,39300,38.80,35.20,37.0,0.50,1.35,0,13500,0
VCB,07/29/2010,37.9,37.9,37.0,37.0,24000,38.70,35.10,36.9,0.10,0.27,0,11000,0
VCB,07/28/2010,37.0,37.8,36.9,36.9,64740,38.80,35.20,37.0,-0.10,-0.27,0,22200,0
VCB,07/27/2010,38.0,38.0,37.0,37.0,66980,39.00,35.40,37.2,-0.20,-0.54,0,23100,0
VCB,07/26/2010,37.9,38.0,37.0,37.2,133550,39.90,36.10,38.0,-0.80,-2.11,0,14020,0
VCB,07/23/2010,38.1,38.2,37.9,38.0,127830,40.10,36.30,38.2,-0.20,-0.52,0,11000,0
VCB,07/22/2010,38.7,38.8,38.2,38.2,107000,40.60,36.80,38.7,-0.50,-1.29,0,16400,0
VCB,07/21/2010,39.0,39.0,38.7,38.7,70110,41.10,37.30,39.2,-0.50,-1.28,0,16500,0
VCB,07/20/2010,39.5,39.5,39.1,39.2,146500,41.30,37.50,39.4,-0.20,-0.51,0,130390,0
VCB,07/19/2010,39.4,39.4,39.2,39.4,122320,41.00,37.20,39.1,0.30,0.77,0,116830,0
VCB,07/16/2010,39.5,39.5,39.1,39.1,94420,40.90,37.10,39.0,0.10,0.26,0,49540,0
VCB,07/15/2010,39.4,39.4,39.0,39.0,39380,40.60,36.80,38.7,0.30,0.78,0,21960,0
VCB,07/14/2010,40.0,40.0,38.7,38.7,81300,42.00,38.00,40.0,-1.30,-3.25,0,11980,0
VCB,07/13/2010,39.5,40.0,39.0,40.0,111090,40.50,36.70,38.6,1.40,3.63,0,99890,0
VCB,07/12/2010,38.9,39.0,38.6,38.6,24100,40.80,37.00,38.9,-0.30,-0.77,0,7600,0
VCB,07/09/2010,39.0,39.5,38.9,38.9,18950,40.90,37.10,39.0,-0.10,-0.26,0,0,0
VCB,07/08/2010,39.0,39.7,39.0,39.0,52320,40.90,37.10,39.0,0.00,0.00,0,0,0
VCB,07/07/2010,39.1,39.8,39.0,39.0,43960,41.00,37.20,39.1,-0.10,-0.26,0,6590,0
VCB,07/06/2010,39.2,40.0,39.0,39.1,55750,41.70,37.90,39.8,-0.70,-1.76,244700,6020,0
VCB,07/05/2010,39.6,39.8,39.3,39.8,145630,41.30,37.50,39.4,0.40,1.02,0,139270,0
VCB,07/02/2010,40.0,40.0,39.0,39.4,94670,41.40,37.60,39.5,-0.10,-0.25,0,1250,0
VCB,07/01/2010,40.5,41.0,39.5,39.5,39510,43.20,39.20,41.2,-1.70,-4.13,0,1040,0
VCB,06/30/2010,41.0,41.2,39.9,41.2,488910,43.40,39.40,41.4,-0.20,-0.48,6000000,32590,0
VCB,06/29/2010,39.5,41.4,39.5,41.4,408480,41.40,37.60,39.5,1.90,4.81,0,96220,0
VCB,06/28/2010,38.5,39.5,38.5,39.5,50970,40.40,36.60,38.5,1.00,2.60,0,0,0
VCB,06/25/2010,39.7,39.8,38.5,38.5,128320,42.00,38.00,40.0,-1.50,-3.75,0,0,0
VCB,06/24/2010,40.1,40.2,40.0,40.0,152680,42.00,38.00,40.0,0.00,0.00,0,0,0
VCB,06/23/2010,39.2,40.3,39.2,40.0,103900,42.20,38.20,40.2,-0.20,-0.50,36260,0,0
VCB,06/22/2010,39.3,40.3,39.3,40.2,164040,42.10,38.10,40.1,0.10,0.25,0,70310,0
VCB,06/21/2010,40.4,40.4,39.9,40.1,119230,42.00,38.00,40.0,0.10,0.25,0,0,0
VCB,06/18/2010,40.0,40.9,40.0,40.0,674600,42.40,38.40,40.4,-0.40,-0.99,0,0,0
VCB,06/17/2010,39.5,40.4,39.3,40.4,434550,41.40,37.60,39.5,0.90,2.28,117770,273240,0
VCB,06/16/2010,39.1,39.5,39.0,39.5,207980,40.60,36.80,38.7,0.80,2.07,0,0,0
VCB,06/15/2010,38.4,38.7,38.2,38.7,243940,40.00,36.20,38.1,0.60,1.57,0,161150,0
VCB,06/14/2010,38.2,38.3,38.1,38.1,79290,40.10,36.30,38.2,-0.10,-0.26,0,55580,0
VCB,06/11/2010,38.4,38.4,38.0,38.2,140560,39.60,36.00,37.8,0.40,1.06,0,98140,0
VCB,06/10/2010,37.7,37.9,37.6,37.8,191400,39.50,35.90,37.7,0.10,0.27,0,33000,0
VCB,06/09/2010,37.6,37.9,37.6,37.7,215320,39.60,36.00,37.8,-0.10,-0.26,0,97760,0
