MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
CTC,08/06/2010,26.0,27.4,26.0,27.1,17600,27.40,24.00,25.7,1.40,5.45,0,0,0
CTC,08/05/2010,28.3,29.3,25.5,25.7,146800,29.30,25.50,27.4,-1.70,-6.20,0,0,0
CTC,08/04/2010,27.5,27.5,27.4,27.4,88300,31.40,27.40,29.4,-2.00,-6.80,0,0,0
CTC,08/03/2010,29.0,31.0,28.7,29.4,144100,32.90,28.70,30.8,-1.40,-4.55,0,0,0
CTC,08/02/2010,33.0,33.0,30.7,30.8,163200,35.30,30.70,33.0,-2.20,-6.67,0,0,0
CTC,07/30/2010,33.0,34.9,31.5,33.0,221100,35.90,31.30,33.6,-0.60,-1.79,10000,0,500
CTC,07/29/2010,33.5,34.6,30.5,33.6,242100,34.60,30.20,32.4,1.20,3.70,0,0,0
CTC,07/28/2010,33.0,33.3,30.1,32.4,259900,33.30,29.10,31.2,1.20,3.85,0,0,0
CTC,07/27/2010,30.0,31.4,29.7,31.2,241800,31.40,27.40,29.4,1.80,6.12,0,0,0
CTC,07/26/2010,30.0,30.5,29.0,29.4,217900,33.20,29.00,31.1,-1.70,-5.47,0,0,500
CTC,07/23/2010,32.0,32.8,30.0,31.1,138900,33.10,28.90,31.0,0.10,0.32,0,0,0
CTC,07/22/2010,29.8,31.8,29.7,31.0,293800,31.80,27.80,29.8,1.20,4.03,0,0,0
CTC,07/21/2010,29.7,29.8,29.0,29.8,248500,29.80,26.00,27.9,1.90,6.81,5000,500,0
CTC,07/20/2010,27.9,27.9,27.0,27.9,278200,27.90,24.30,26.1,1.80,6.90,0,500,0
CTC,07/19/2010,26.1,26.1,26.1,26.1,73900,26.10,22.70,24.4,1.70,6.97,0,0,0
CTC,07/16/2010,24.8,24.8,23.0,24.4,55600,24.80,21.60,23.2,1.20,5.17,0,0,0
CTC,07/15/2010,23.2,23.2,23.0,23.2,582400,23.20,20.20,21.7,1.50,6.91,0,0,0
CTC,07/14/2010,21.7,21.7,21.7,21.7,31700,21.70,18.90,20.3,1.40,6.90,0,0,0
CTC,07/13/2010,20.3,20.3,20.3,20.3,138900,20.30,17.70,19.0,1.30,6.84,0,0,0
CTC,07/12/2010,18.9,19.0,18.9,19.0,218800,19.00,16.60,17.8,1.20,6.74,0,0,0
CTC,07/09/2010,17.5,17.8,16.7,17.8,180000,17.80,15.60,16.7,1.10,6.59,0,0,0
CTC,07/08/2010,17.5,17.5,16.4,16.7,144100,17.50,15.30,16.4,0.30,1.83,0,0,0
CTC,07/07/2010,16.0,16.4,16.0,16.4,307800,16.40,14.40,15.4,1.00,6.49,0,0,0
CTC,07/06/2010,15.2,16.0,15.0,15.4,107900,16.10,14.10,15.1,0.30,1.99,0,0,0
CTC,07/05/2010,15.1,15.3,15.0,15.1,60500,15.90,13.90,14.9,0.20,1.34,0,0,0
CTC,07/02/2010,14.6,15.1,14.6,14.9,55400,15.60,13.60,14.6,0.30,2.05,0,0,0
CTC,07/01/2010,14.7,14.7,14.6,14.6,37100,15.70,13.70,14.7,-0.10,-0.68,0,0,0
CTC,06/30/2010,14.2,15.0,14.2,14.7,56600,16.20,14.20,15.2,-0.50,-3.29,0,0,0
CTC,06/29/2010,15.0,15.4,15.0,15.2,52900,15.90,13.90,14.9,0.30,2.01,0,0,0
CTC,06/28/2010,15.0,15.2,14.5,14.9,37900,15.50,13.50,14.5,0.40,2.76,0,0,0
CTC,06/25/2010,15.2,15.2,14.4,14.5,54500,16.30,14.30,15.3,-0.80,-5.23,0,0,0
CTC,06/24/2010,15.6,15.6,15.0,15.3,29200,16.20,14.20,15.2,0.10,0.66,0,0,0
CTC,06/23/2010,14.9,15.8,14.8,15.2,60100,16.40,14.40,15.4,-0.20,-1.30,0,0,0
CTC,06/22/2010,15.1,15.5,15.0,15.4,200400,15.50,13.50,14.5,0.90,6.21,0,0,0
CTC,06/21/2010,14.2,14.9,14.2,14.5,104500,14.90,13.10,14.0,0.50,3.57,0,0,0
CTC,06/18/2010,13.9,14.1,13.9,14.0,21500,14.80,13.00,13.9,0.10,0.72,0,0,0
CTC,06/17/2010,13.9,14.0,13.8,13.9,21600,14.90,13.10,14.0,-0.10,-0.71,0,0,0
CTC,06/16/2010,14.4,14.4,13.9,14.0,50200,14.80,13.00,13.9,0.10,0.72,0,0,0
CTC,06/15/2010,14.1,14.1,13.5,13.9,36400,15.00,13.20,14.1,-0.20,-1.42,0,0,0
CTC,06/14/2010,14.3,14.4,14.0,14.1,51700,15.40,13.40,14.4,-0.30,-2.08,0,0,0
CTC,06/11/2010,14.5,14.7,13.9,14.4,38200,14.70,12.90,13.8,0.60,4.35,0,0,0
CTC,06/10/2010,13.9,14.0,13.7,13.8,24700,14.50,12.70,13.6,0.20,1.47,0,0,0
CTC,06/09/2010,14.0,14.0,13.4,13.6,23800,14.50,12.70,13.6,0.00,0.00,0,0,0
CTC,06/08/2010,13.3,13.8,13.2,13.6,17700,14.30,12.50,13.4,0.20,1.49,0,0,0
CTC,06/07/2010,13.6,13.6,13.3,13.4,74100,15.30,13.30,14.3,-0.90,-6.29,0,0,0
CTC,06/04/2010,14.0,14.6,14.0,14.3,27500,15.40,13.40,14.4,-0.10,-0.69,0,0,0
CTC,06/03/2010,14.6,14.6,14.1,14.4,69900,15.60,13.60,14.6,-0.20,-1.37,0,0,0
CTC,06/02/2010,14.0,15.0,14.0,14.6,55700,15.70,13.70,14.7,-0.10,-0.68,0,0,0
CTC,06/01/2010,15.0,15.0,14.4,14.7,13800,16.20,14.20,15.2,-0.50,-3.29,0,0,0
CTC,05/31/2010,15.0,15.6,14.5,15.2,38300,15.60,13.60,14.6,0.60,4.11,0,0,0
CTC,05/28/2010,14.8,14.8,14.0,14.6,97700,14.80,13.00,13.9,0.70,5.04,0,0,0
CTC,05/27/2010,14.6,14.6,13.3,13.9,35600,15.00,13.20,14.1,-0.20,-1.42,0,0,0
CTC,05/26/2010,13.3,14.2,13.3,14.1,43300,14.20,12.40,13.3,0.80,6.02,0,0,0
CTC,05/25/2010,13.3,13.7,13.0,13.3,20600,13.90,12.10,13.0,0.30,2.31,0,0,0
CTC,05/24/2010,12.0,13.3,12.0,13.0,36000,13.30,11.70,12.5,0.50,4.00,0,0,0
CTC,05/21/2010,13.0,13.0,12.5,12.5,148000,14.30,12.50,13.4,-0.90,-6.72,0,0,0
CTC,05/20/2010,13.5,14.0,13.3,13.4,103300,15.10,13.30,14.2,-0.80,-5.63,0,0,0
CTC,05/19/2010,15.6,15.6,14.1,14.2,61100,16.10,14.10,15.1,-0.90,-5.96,0,0,0
CTC,05/18/2010,15.5,15.7,14.6,15.1,13100,15.70,13.70,14.7,0.40,2.72,0,0,0
CTC,05/17/2010,15.0,15.5,14.6,14.7,105500,16.60,14.60,15.6,-0.90,-5.77,0,0,0
CTC,05/14/2010,15.0,16.4,15.0,15.6,66300,17.20,15.00,16.1,-0.50,-3.11,0,0,0
CTC,05/13/2010,16.2,17.0,16.0,16.1,85200,18.20,16.00,17.1,-1.00,-5.85,0,0,0
CTC,05/12/2010,17.1,17.2,17.1,17.1,85100,19.50,17.10,18.3,-1.20,-6.56,0,0,0
CTC,05/11/2010,19.0,19.0,17.5,18.3,100200,19.10,16.70,17.9,0.40,2.23,0,0,0
CTC,05/10/2010,17.9,18.0,17.1,17.9,137400,18.00,15.80,16.9,1.00,5.92,0,0,0
CTC,05/07/2010,17.5,18.3,17.1,17.5,193900,19.50,17.10,18.3,-0.80,-4.37,0,0,0
CTC,05/06/2010,18.5,18.8,17.7,18.3,192200,18.90,16.50,17.7,0.60,3.39,0,0,0
CTC,05/05/2010,18.0,18.0,16.7,17.7,379100,18.00,15.80,16.9,0.80,4.73,0,0,1800
CTC,05/04/2010,16.5,16.9,16.5,16.9,63700,16.90,14.70,15.8,1.10,6.96,0,0,0
CTC,04/29/2010,15.6,15.8,15.5,15.8,173900,15.80,13.80,14.8,1.00,6.76,0,0,0
CTC,04/28/2010,14.1,15.1,13.9,14.8,184700,15.10,13.30,14.2,0.60,4.23,0,0,0
CTC,04/27/2010,14.5,14.5,14.0,14.2,14400,15.10,13.30,14.2,0.00,0.00,0,0,0
CTC,04/26/2010,14.9,14.9,14.0,14.2,22400,15.30,13.30,14.3,-0.10,-0.70,10000,0,0
CTC,04/22/2010,15.0,15.0,14.2,14.3,93100,16.20,14.20,15.2,-0.90,-5.92,0,0,0
CTC,04/21/2010,15.4,15.5,14.4,15.2,72800,16.10,14.10,15.1,0.10,0.66,0,0,0
CTC,04/20/2010,15.1,15.5,14.8,15.1,63100,15.70,13.70,14.7,0.40,2.72,0,0,0
CTC,04/19/2010,15.1,15.1,14.2,14.7,61900,15.10,13.30,14.2,0.50,3.52,0,0,0
CTC,04/16/2010,13.7,14.5,13.5,14.2,167600,14.50,12.70,13.6,0.60,4.41,0,0,0
CTC,04/15/2010,13.8,13.9,13.5,13.6,66600,14.70,12.90,13.8,-0.20,-1.45,0,0,0
CTC,04/14/2010,13.9,14.1,13.5,13.8,113300,15.50,13.50,14.5,-0.70,-4.83,0,0,0
CTC,04/13/2010,14.2,15.0,14.1,14.5,13100,15.10,13.30,14.2,0.30,2.11,0,0,0
CTC,04/12/2010,14.5,14.5,14.0,14.2,50500,15.50,13.50,14.5,-0.30,-2.07,0,0,0
CTC,04/09/2010,15.0,15.2,14.1,14.5,86300,16.10,14.10,15.1,-0.60,-3.97,0,0,0
CTC,04/08/2010,15.0,15.4,14.5,15.1,74800,15.40,13.40,14.4,0.70,4.86,0,0,0
CTC,04/07/2010,13.6,15.2,13.4,14.4,66400,15.40,13.40,14.4,0.00,0.00,0,0,0
CTC,04/06/2010,16.0,16.0,14.3,14.4,73800,16.30,14.30,15.3,-0.90,-5.88,0,0,0
CTC,04/05/2010,14.9,15.8,14.8,15.3,101700,15.90,13.90,14.9,0.40,2.68,0,0,0
CTC,04/02/2010,15.9,15.9,14.8,14.9,138700,17.00,14.80,15.9,-1.00,-6.29,0,0,0
CTC,04/01/2010,16.6,16.6,14.6,15.9,177500,16.60,14.60,15.6,0.30,1.92,0,0,0
CTC,03/31/2010,15.6,15.6,15.2,15.6,223000,15.60,13.60,14.6,1.00,6.85,0,0,0
CTC,03/30/2010,14.6,14.6,14.4,14.6,104000,14.60,12.80,13.7,0.90,6.57,0,0,0
CTC,03/29/2010,13.3,13.8,13.0,13.7,82800,13.80,12.00,12.9,0.80,6.20,0,0,0
CTC,03/26/2010,13.0,13.2,12.7,12.9,51200,13.50,11.90,12.7,0.20,1.57,0,0,0
CTC,03/25/2010,12.6,13.1,12.2,12.7,119800,13.10,11.50,12.3,0.40,3.25,0,0,0
CTC,03/24/2010,11.9,12.3,11.9,12.3,37200,12.30,10.70,11.5,0.80,6.96,0,0,0
CTC,03/23/2010,11.6,11.6,11.5,11.5,6400,12.50,10.90,11.7,-0.20,-1.71,0,0,0
CTC,03/22/2010,11.8,11.9,11.6,11.7,8100,12.70,11.10,11.9,-0.20,-1.68,0,0,0
CTC,03/19/2010,12.0,12.0,11.7,11.9,8000,12.80,11.20,12.0,-0.10,-0.83,0,0,0
CTC,03/18/2010,11.6,12.2,11.5,12.0,11700,12.40,10.80,11.6,0.40,3.45,0,0,0
CTC,03/17/2010,11.4,12.0,11.3,11.6,17100,12.90,11.30,12.1,-0.50,-4.13,0,0,2000
CTC,03/16/2010,12.5,12.5,11.7,12.1,25300,13.30,11.70,12.5,-0.40,-3.20,0,300,0
CTC,03/15/2010,12.5,12.7,12.3,12.5,33500,13.00,11.40,12.2,0.30,2.46,0,0,0
CTC,03/12/2010,12.6,12.6,11.7,12.2,38400,12.80,11.20,12.0,0.20,1.67,0,0,0
CTC,03/11/2010,12.4,12.4,11.8,12.0,49900,12.40,10.80,11.6,0.40,3.45,0,0,0
CTC,03/10/2010,12.4,12.4,11.5,11.6,6700,12.80,11.20,12.0,-0.40,-3.33,0,0,0
CTC,03/09/2010,12.5,12.5,11.8,12.0,27400,12.50,10.90,11.7,0.30,2.56,0,0,0
CTC,03/08/2010,11.7,11.7,11.7,11.7,85800,11.70,10.30,11.0,0.70,6.36,0,0,0
CTC,03/05/2010,11.0,11.4,10.9,11.0,33600,11.70,10.30,11.0,0.00,0.00,0,0,0
CTC,03/04/2010,11.0,11.3,11.0,11.0,27700,11.70,10.30,11.0,0.00,0.00,0,0,0
CTC,03/03/2010,11.0,11.0,11.0,11.0,5500,11.70,10.30,11.0,0.00,0.00,0,0,0
CTC,03/02/2010,11.0,11.0,10.8,11.0,10300,11.70,10.30,11.0,0.00,0.00,0,900,3200
CTC,03/01/2010,11.0,11.0,11.0,11.0,1100,11.70,10.30,11.0,0.00,0.00,0,0,0
CTC,02/26/2010,11.0,11.0,10.9,11.0,6200,12.50,10.90,11.7,-0.70,-5.98,0,0,0
CTC,02/25/2010,11.8,11.9,11.3,11.7,4400,12.10,10.70,11.4,0.30,2.63,0,0,0
CTC,02/24/2010,11.4,11.4,11.4,11.4,100,11.60,10.20,10.9,0.50,4.59,0,0,0
CTC,02/23/2010,11.3,11.3,10.8,10.9,6800,12.10,10.70,11.4,-0.50,-4.39,0,0,0
CTC,02/22/2010,11.8,11.8,11.0,11.4,1300,11.90,10.50,11.2,0.20,1.79,0,0,0
CTC,02/12/2010,11.1,11.3,11.1,11.2,1700,11.70,10.30,11.0,0.20,1.82,0,0,0
CTC,02/11/2010,11.0,11.0,10.8,11.0,5300,11.70,10.30,11.0,0.00,0.00,0,0,0
CTC,02/10/2010,11.0,11.0,11.0,11.0,500,11.50,10.10,10.8,0.20,1.85,0,0,0
CTC,02/09/2010,10.8,10.8,10.7,10.8,3000,11.50,10.10,10.8,0.00,0.00,0,0,0
CTC,02/08/2010,11.3,11.3,10.7,10.8,4400,11.50,10.10,10.8,0.00,0.00,0,0,0
CTC,02/05/2010,11.0,11.0,10.5,10.8,15200,11.80,10.40,11.1,-0.30,-2.70,0,0,0
CTC,02/04/2010,10.8,11.3,10.8,11.1,4700,11.70,10.30,11.0,0.10,0.91,0,0,0
CTC,02/03/2010,11.0,11.2,10.9,11.0,12100,11.90,10.50,11.2,-0.20,-1.79,0,0,0
CTC,02/02/2010,11.2,11.2,11.2,11.2,100,11.60,10.20,10.9,0.30,2.75,0,0,0
CTC,02/01/2010,11.0,11.0,10.8,10.9,3400,11.50,10.10,10.8,0.10,0.93,0,0,0
CTC,01/29/2010,11.2,11.2,10.7,10.8,4200,11.50,10.10,10.8,0.00,0.00,0,0,0
CTC,01/28/2010,11.3,11.3,10.7,10.8,2400,11.40,10.00,10.7,0.10,0.93,0,0,0
CTC,01/27/2010,12.0,12.0,10.7,10.7,3100,12.10,10.70,11.4,-0.70,-6.14,0,0,0
CTC,01/26/2010,11.6,11.6,10.4,11.4,4100,11.60,10.20,10.9,0.50,4.59,0,400,0
CTC,01/25/2010,10.9,10.9,10.9,10.9,1100,11.20,9.80,10.5,0.40,3.81,0,0,0
CTC,01/22/2010,10.5,10.5,10.5,10.5,1300,11.40,10.00,10.7,-0.20,-1.87,0,0,0
CTC,01/21/2010,10.7,10.8,10.7,10.7,7700,12.30,10.70,11.5,-0.80,-6.96,0,0,0
CTC,01/20/2010,11.5,11.5,11.5,11.5,100,11.70,10.30,11.0,0.50,4.55,0,0,0
CTC,01/19/2010,11.0,11.0,11.0,11.0,300,11.40,10.00,10.7,0.30,2.80,0,0,0
CTC,01/18/2010,10.7,10.7,10.7,10.7,300,11.90,10.50,11.2,-0.50,-4.46,0,0,0
CTC,01/15/2010,11.5,11.6,11.0,11.2,7700,12.50,10.90,11.7,-0.50,-4.27,0,0,0
CTC,01/14/2010,11.4,11.7,11.4,11.7,700,11.70,10.30,11.0,0.70,6.36,28000,0,0
CTC,01/13/2010,10.8,11.4,10.8,11.0,700,11.40,10.00,10.7,0.30,2.80,0,0,0
CTC,01/12/2010,10.7,10.8,10.6,10.7,3600,12.00,10.60,11.3,-0.60,-5.31,0,0,0
CTC,01/11/2010,11.5,11.5,11.0,11.3,2300,12.50,10.90,11.7,-0.40,-3.42,0,0,0
CTC,01/08/2010,11.7,11.7,11.5,11.7,8600,12.60,11.00,11.8,-0.10,-0.85,0,0,5400
CTC,01/07/2010,11.6,11.8,11.6,11.8,400,12.80,11.20,12.0,-0.20,-1.67,0,0,0
CTC,01/06/2010,12.5,12.5,11.7,12.0,15500,13.30,11.70,12.5,-0.50,-4.00,0,0,0
CTC,01/05/2010,12.5,12.5,12.4,12.5,8400,12.50,10.90,11.7,0.80,6.84,0,0,0
CTC,01/04/2010,11.7,11.7,11.7,11.7,9700,11.70,10.30,11.0,0.70,6.36,0,6300,0
